1	Friedliche	friedlich	_	ADJA	nom|pl|fem|pos	2	ATTR	_	_
2	Demonstrationen	Demonstration	_	NN	nom|pl|fem	0	S	_	_
3	am	an	_	APPRART	dat|sg|masc	2	PP	_	_
4	1.	1.	_	ADJA	dat|sg|masc|pos	5	ATTR	_	_
5	Mai	Mai	_	NN	dat|sg|masc	3	PN	_	_

1	In	in	_	APPR	_	6	PP	_	_
2	vielen	vieler	_	PIAT	dat|pl|fem	3	DET	_	_
3	Städten	Stadt	_	NN	dat|pl|fem	1	PN	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	Deutschland	Deutschland	_	NE	dat|sg|neut	4	PN	_	_
6	waren	sein	_	VAFIN	pl|3|past|ind	0	S	_	_
7	Demonstrationen	Demonstration	_	NN	nom|pl|fem	6	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	einer	ein	_	ART	dat|sg|fem	3	DET	_	_
3	Demonstration	Demonstration	_	NN	dat|sg|fem	1	PN	_	_
4	gehen	gehen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	viele	vieler	_	PIAT	nom|pl|masc	6	DET	_	_
6	Menschen	Mensch	_	NN	nom|pl|masc	4	PAR	_	_
7	gemeinsam	gemeinsam	_	ADJD	pos	6	ADV	_	_
8	durch	durch	_	APPR	_	4	PP	_	_
9	die	der	_	ART	acc|sg|fem	10	DET	_	_
10	Stadt	Stadt	_	NN	acc|sg|fem	8	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	3	SUBJ	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	mit	mit	_	APPR	_	3	PP	_	_
5	etwas	etwas	_	PIS	*|*|neut	4	PN	_	_
6	nicht	nicht	_	PTKNEG	_	7	ADV	_	_
7	einverstanden	einverstanden	_	ADJD	pos	3	ADV	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	7	DET	_	_
2	rufen	rufen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|masc	4	DET	_	_
4	Menschen	Mensch	_	NN	nom|pl|masc	2	SUBJ	_	_
5	laut	laut	_	APPR	_	2	PP	_	_
6	ihre	ihr	_	PPOSAT	acc|sg|fem	7	DET	_	_
7	Meinung	Meinung	_	NN	acc|sg|fem	5	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	2	DET	_	_
2	Demonstrationen	Demonstration	_	NN	nom|pl|fem	3	SUBJ	_	_
3	waren	sein	_	VAFIN	pl|3|past|ind	0	S	_	_
4	am	an	_	APPRART	dat|sg|masc	3	PRED	_	_
5	1.	1.	_	ADJA	dat|sg|masc|pos	6	ATTR	_	_
6	Mai	Mai	_	NN	dat|sg|masc	4	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	bei	bei	_	APPR	_	5	PP	_	_
3	den	der	_	ART	dat|pl|fem	4	DET	_	_
4	Demonstrationen	Demonstration	_	NN	dat|pl|fem	2	PN	_	_
5	waren	sein	_	VAFIN	pl|3|past|ind	1	CJ	_	_
6	sehr	sehr	_	ADV	_	7	ADV	_	_
7	viele	vieler	_	PIAT	nom|pl|masc	8	ATTR	_	_
8	Menschen	Mensch	_	NN	nom|pl|masc	5	PRED	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Auch	auch	_	ADV	_	2	ADV	_	_
2	in	in	_	APPR	_	7	PP	_	_
3	vielen	vieler	_	PIAT	dat|pl|fem	4	DET	_	_
4	Städten	Stadt	_	NN	dat|pl|fem	2	PN	_	_
5	in	in	_	APPR	_	4	PP	_	_
